title,year,role_type,person_name
Dumb and Dumber,1994,Actor,Mike Starr
Eagle Eye,2008,Director,D.J. Caruso
Eagle Eye,2008,Writer,John Glenn
Eagle Eye,2008,Writer,Travis Wright
Eagle Eye,2008,Writer,Hillary Seitz
Eagle Eye,2008,Writer,Dan McDermott
Eagle Eye,2008,Writer,Dan McDermott
Eagle Eye,2008,Actor,Shia LaBeouf
Eagle Eye,2008,Actor,Michelle Monaghan
Eagle Eye,2008,Actor,Rosario Dawson
Eagle Eye,2008,Actor,Michael Chiklis
Eastern Promises,2007,Director,David Cronenberg
Eastern Promises,2007,Writer,Steven Knight
Eastern Promises,2007,Actor,Josef Altin
Eastern Promises,2007,Actor,Mina E. Mina
Eastern Promises,2007,Actor,Aleksandar Mikic
Eastern Promises,2007,Actor,Sarah-Jeanne Labrosse
Easy A,2010,Director,Will Gluck
Easy A,2010,Writer,Bert V. Royal
Easy A,2010,Actor,Emma Stone
Easy A,2010,Actor,Penn Badgley
Easy A,2010,Actor,Amanda Bynes
Easy A,2010,Actor,Dan Byrd
Ed Wood,1994,Director,Tim Burton
Ed Wood,1994,Writer,Rudolph Grey
Ed Wood,1994,Writer,Scott Alexander
Ed Wood,1994,Writer,Larry Karaszewski
Ed Wood,1994,Actor,Johnny Depp
Ed Wood,1994,Actor,Martin Landau
Ed Wood,1994,Actor,Sarah Jessica Parker
Ed Wood,1994,Actor,Patricia Arquette
Edge of Darkness,2010,Director,Martin Campbell
Edge of Darkness,2010,Writer,William Monahan
Edge of Darkness,2010,Writer,Andrew Bovell
Edge of Darkness,2010,Writer,Troy Kennedy-Martin
Edge of Darkness,2010,Actor,Mel Gibson
Edge of Darkness,2010,Actor,Ray Winstone
Edge of Darkness,2010,Actor,Danny Huston
Edge of Darkness,2010,Actor,Bojana Novakovic
Edward Scissorhands,1990,Director,Tim Burton
Edward Scissorhands,1990,Writer,Tim Burton
Edward Scissorhands,1990,Writer,Caroline Thompson
Edward Scissorhands,1990,Writer,Caroline Thompson
Edward Scissorhands,1990,Actor,Johnny Depp
Edward Scissorhands,1990,Actor,Winona Ryder
Edward Scissorhands,1990,Actor,Dianne Wiest
Edward Scissorhands,1990,Actor,Anthony Michael Hall
Election,1999,Director,Alexander Payne
Election,1999,Writer,Tom Perrotta
Election,1999,Writer,Alexander Payne
Election,1999,Writer,Jim Taylor
Election,1999,Actor,Matthew Broderick
Election,1999,Actor,Reese Witherspoon
Election,1999,Actor,Chris Klein
Election,1999,Actor,Jessica Campbell
Elizabeth,1998,Director,Shekhar Kapur
Elizabeth,1998,Writer,Michael Hirst
Elizabeth,1998,Actor,Cate Blanchett
Elizabeth,1998,Actor,Geoffrey Rush
Elizabeth,1998,Actor,Christopher Eccleston
Elizabeth,1998,Actor,Joseph Fiennes
Elysium,2013,Director,Neill Blomkamp
Elysium,2013,Writer,Neill Blomkamp
Elysium,2013,Actor,Matt Damon
Elysium,2013,Actor,Jodie Foster
Elysium,2013,Actor,Sharlto Copley
Elysium,2013,Actor,Alice Braga
Emma,1996,Director,Douglas McGrath
Emma,1996,Writer,Jane Austen
Emma,1996,Writer,Douglas McGrath
Emma,1996,Actor,Gwyneth Paltrow
Emma,1996,Actor,James Cosmo
Emma,1996,Actor,Greta Scacchi
Emma,1996,Actor,Alan Cumming
Enemy of the State,1998,Director,Tony Scott
Enemy of the State,1998,Writer,David Marconi
Enemy of the State,1998,Actor,Will Smith
Enemy of the State,1998,Actor,Gene Hackman
Enemy of the State,1998,Actor,Jon Voight
Enemy of the State,1998,Actor,Lisa Bonet
Equilibrium,2002,Director,Kurt Wimmer
Equilibrium,2002,Writer,Kurt Wimmer
Equilibrium,2002,Actor,Christian Bale
Equilibrium,2002,Actor,Dominic Purcell
Equilibrium,2002,Actor,Sean Bean
Equilibrium,2002,Actor,Christian Kahrmann
Erin Brockovich,2000,Director,Steven Soderbergh
Erin Brockovich,2000,Writer,Susannah Grant
Erin Brockovich,2000,Actor,Julia Roberts
Erin Brockovich,2000,Actor,David Brisbin
Erin Brockovich,2000,Actor,Dawn Didawick
Erin Brockovich,2000,Actor,Albert Finney
Escape from L.A.,1996,Director,John Carpenter
Escape from L.A.,1996,Writer,John Carpenter
Escape from L.A.,1996,Writer,Nick Castle
Escape from L.A.,1996,Writer,John Carpenter
Escape from L.A.,1996,Writer,Debra Hill
Escape from L.A.,1996,Writer,Kurt Russell
Escape from L.A.,1996,Actor,Kurt Russell
Escape from L.A.,1996,Actor,Steve Buscemi
Escape from L.A.,1996,Actor,Peter Fonda
Escape from L.A.,1996,Actor,Cliff Robertson
Escape from New York,1981,Director,John Carpenter
Escape from New York,1981,Writer,John Carpenter
Escape from New York,1981,Writer,Nick Castle
Escape from New York,1981,Actor,Kurt Russell
Escape from New York,1981,Actor,Lee Van Cleef
Escape from New York,1981,Actor,Ernest Borgnine
Escape from New York,1981,Actor,Donald Pleasence
Eternal Sunshine of the Spotless Mind,2004,Director,Michel Gondry
Eternal Sunshine of the Spotless Mind,2004,Writer,Charlie Kaufman
Eternal Sunshine of the Spotless Mind,2004,Writer,Michel Gondry
Eternal Sunshine of the Spotless Mind,2004,Writer,Pierre Bismuth
Eternal Sunshine of the Spotless Mind,2004,Writer,Charlie Kaufman
Eternal Sunshine of the Spotless Mind,2004,Actor,Jim Carrey
Eternal Sunshine of the Spotless Mind,2004,Actor,Kate Winslet
Eternal Sunshine of the Spotless Mind,2004,Actor,Gerry Robert Byrne
Eternal Sunshine of the Spotless Mind,2004,Actor,Elijah Wood
Event Horizon,1997,Director,Paul W.S. Anderson
Event Horizon,1997,Writer,Philip Eisner
Event Horizon,1997,Actor,Laurence Fishburne
Event Horizon,1997,Actor,Sam Neill
Event Horizon,1997,Actor,Kathleen Quinlan
Event Horizon,1997,Actor,Joely Richardson
Eyes Wide Shut,1999,Director,Stanley Kubrick
Eyes Wide Shut,1999,Writer,Stanley Kubrick
Eyes Wide Shut,1999,Writer,Frederic Raphael
Eyes Wide Shut,1999,Writer,Arthur Schnitzler
Eyes Wide Shut,1999,Actor,Tom Cruise
Eyes Wide Shut,1999,Actor,Nicole Kidman
Eyes Wide Shut,1999,Actor,Madison Eginton
Eyes Wide Shut,1999,Actor,Jackie Sawiris
Fantastic Four,2005,Director,Tim Story
Fantastic Four,2005,Writer,Mark Frost
Fantastic Four,2005,Writer,Michael France
Fantastic Four,2005,Writer,Stan Lee
Fantastic Four,2005,Writer,Jack Kirby
Fantastic Four,2005,Actor,Ioan Gruffudd
Fantastic Four,2005,Actor,Jessica Alba
Fantastic Four,2005,Actor,Chris Evans
Fantastic Four,2005,Actor,Michael Chiklis
Fantastic Mr. Fox,2009,Director,Wes Anderson
Fantastic Mr. Fox,2009,Writer,Roald Dahl
Fantastic Mr. Fox,2009,Writer,Wes Anderson
Fantastic Mr. Fox,2009,Writer,Noah Baumbach
Fantastic Mr. Fox,2009,Actor,George Clooney
Fantastic Mr. Fox,2009,Actor,Meryl Streep
Fantastic Mr. Fox,2009,Actor,Jason Schwartzman
Fantastic Mr. Fox,2009,Actor,Bill Murray
Far from Heaven,2002,Director,Todd Haynes
Far from Heaven,2002,Writer,Todd Haynes
Far from Heaven,2002,Actor,Julianne Moore
Far from Heaven,2002,Actor,Dennis Quaid
Far from Heaven,2002,Actor,Dennis Haysbert
Far from Heaven,2002,Actor,Patricia Clarkson
Fast Times at Ridgemont High,1982,Director,Amy Heckerling
Fast Times at Ridgemont High,1982,Writer,Cameron Crowe
Fast Times at Ridgemont High,1982,Writer,Cameron Crowe
Fast Times at Ridgemont High,1982,Actor,Sean Penn
Fast Times at Ridgemont High,1982,Actor,Jennifer Jason Leigh
Fast Times at Ridgemont High,1982,Actor,Judge Reinhold
Fast Times at Ridgemont High,1982,Actor,Robert Romanus
Fear and Loathing in Las Vegas,1998,Director,Terry Gilliam
Fear and Loathing in Las Vegas,1998,Writer,Hunter S. Thompson
Fear and Loathing in Las Vegas,1998,Writer,Terry Gilliam
Fear and Loathing in Las Vegas,1998,Writer,Tony Grisoni
Fear and Loathing in Las Vegas,1998,Writer,Tod Davies
Fear and Loathing in Las Vegas,1998,Writer,Alex Cox
Fear and Loathing in Las Vegas,1998,Actor,Johnny Depp
Fear and Loathing in Las Vegas,1998,Actor,Benicio Del Toro
Fear and Loathing in Las Vegas,1998,Actor,Tobey Maguire
Fear and Loathing in Las Vegas,1998,Actor,Michael Lee Gogin
Fight Club,1999,Director,David Fincher
Fight Club,1999,Writer,Chuck Palahniuk
Fight Club,1999,Writer,Jim Uhls
Fight Club,1999,Actor,Edward Norton
Fight Club,1999,Actor,Brad Pitt
Fight Club,1999,Actor,Meat Loaf
Fight Club,1999,Actor,Zach Grenier
Final Destination,2000,Director,James Wong
Final Destination,2000,Writer,Glen Morgan
Final Destination,2000,Writer,James Wong
Final Destination,2000,Writer,Jeffrey Reddick
Final Destination,2000,Writer,Jeffrey Reddick
Final Destination,2000,Actor,Devon Sawa
Final Destination,2000,Actor,Ali Larter
Final Destination,2000,Actor,Kerr Smith
Final Destination,2000,Actor,Kristen Cloke
Final Destination 2,2003,Director,David R. Ellis
Final Destination 2,2003,Writer,J. Mackye Gruber
Final Destination 2,2003,Writer,Eric Bress
Final Destination 2,2003,Writer,J. Mackye Gruber
Final Destination 2,2003,Writer,Eric Bress
Final Destination 2,2003,Writer,Jeffrey Reddick
Final Destination 2,2003,Writer,Jeffrey Reddick
Final Destination 2,2003,Actor,Ali Larter
Final Destination 2,2003,Actor,A.J. Cook
Final Destination 2,2003,Actor,Michael Landes
Final Destination 2,2003,Actor,David Paetkau
Final Destination 3,2006,Director,James Wong
Final Destination 3,2006,Writer,Glen Morgan
Final Destination 3,2006,Writer,James Wong
Final Destination 3,2006,Writer,Jeffrey Reddick
Final Destination 3,2006,Actor,Mary Elizabeth Winstead
Final Destination 3,2006,Actor,Ryan Merriman
Final Destination 3,2006,Actor,Kris Lemche
Final Destination 3,2006,Actor,Alexz Johnson
Finding Nemo,2003,Director,Andrew Stanton
Finding Nemo,2003,Director,Lee Unkrich
Finding Nemo,2003,Writer,Andrew Stanton
Finding Nemo,2003,Writer,Andrew Stanton
Finding Nemo,2003,Writer,Bob Peterson
Finding Nemo,2003,Writer,David Reynolds
Finding Nemo,2003,Actor,Albert Brooks
Finding Nemo,2003,Actor,Ellen DeGeneres
Finding Nemo,2003,Actor,Alexander Gould
Finding Nemo,2003,Actor,Willem Dafoe
Flash Gordon,1980,Director,Mike Hodges
Flash Gordon,1980,Writer,Lorenzo Semple Jr.
Flash Gordon,1980,Writer,Michael Allin
Flash Gordon,1980,Writer,Alex Raymond
Flash Gordon,1980,Actor,Sam J. Jones
Flash Gordon,1980,Actor,Melody Anderson
Flash Gordon,1980,Actor,Max von Sydow
Flash Gordon,1980,Actor,Topol
Flight,2012,Director,Robert Zemeckis
Flight,2012,Writer,John Gatins
Flight,2012,Actor,Nadine Velazquez
Flight,2012,Actor,Denzel Washington
Flight,2012,Actor,Carter Cabassa
Flight,2012,Actor,Adam C. Edwards
Flightplan,2005,Director,Robert Schwentke
Flightplan,2005,Writer,Peter A. Dowling
Flightplan,2005,Writer,Billy Ray
Flightplan,2005,Actor,Jodie Foster
Flightplan,2005,Actor,Peter Sarsgaard
Flightplan,2005,Actor,Sean Bean
Flightplan,2005,Actor,Kate Beahan
For Colored Girls,2010,Director,Tyler Perry
For Colored Girls,2010,Writer,Tyler Perry
For Colored Girls,2010,Writer,Ntozake Shange
For Colored Girls,2010,Actor,Kimberly Elise
For Colored Girls,2010,Actor,Janet Jackson
For Colored Girls,2010,Actor,Loretta Devine
For Colored Girls,2010,Actor,Thandie Newton
Forgetting Sarah Marshall,2008,Director,Nicholas Stoller
Forgetting Sarah Marshall,2008,Writer,Jason Segel
Forgetting Sarah Marshall,2008,Actor,Jason Segel
Forgetting Sarah Marshall,2008,Actor,Kristen Bell
Forgetting Sarah Marshall,2008,Actor,Mila Kunis
Forgetting Sarah Marshall,2008,Actor,Russell Brand
Forrest Gump,1994,Director,Robert Zemeckis
Forrest Gump,1994,Writer,Winston Groom
Forrest Gump,1994,Writer,Eric Roth
Forrest Gump,1994,Actor,Tom Hanks
Forrest Gump,1994,Actor,Rebecca Williams
Forrest Gump,1994,Actor,Sally Field
Forrest Gump,1994,Actor,Michael Conner Humphreys
Frankenweenie,2012,Director,Tim Burton
Frankenweenie,2012,Writer,Leonard Ripps
Frankenweenie,2012,Writer,Tim Burton
Frankenweenie,2012,Writer,John August
Frankenweenie,2012,Actor,Catherine O'Hara
Frankenweenie,2012,Actor,Martin Short
Frankenweenie,2012,Actor,Martin Landau
Frankenweenie,2012,Actor,Charlie Tahan
Friday the 13th,1980,Director,Sean S. Cunningham
Friday the 13th,1980,Writer,Victor Miller
Friday the 13th,1980,Actor,Betsy Palmer
Friday the 13th,1980,Actor,Adrienne King
Friday the 13th,1980,Actor,Jeannine Taylor
Friday the 13th,1980,Actor,Robbi Morgan
Friday the 13th,2009,Director,Marcus Nispel
Friday the 13th,2009,Writer,Damian Shannon
Friday the 13th,2009,Writer,Mark Swift
Friday the 13th,2009,Writer,Damian Shannon
Friday the 13th,2009,Writer,Mark Swift
Friday the 13th,2009,Writer,Mark Wheaton
Friday the 13th,2009,Writer,Victor Miller
Friday the 13th,2009,Actor,Jared Padalecki
Friday the 13th,2009,Actor,Danielle Panabaker
Friday the 13th,2009,Actor,Amanda Righetti
Friday the 13th,2009,Actor,Travis Van Winkle
Friday the 13th Part III,1982,Director,Steve Miner
Friday the 13th Part III,1982,Writer,Martin Kitrosser
Friday the 13th Part III,1982,Writer,Carol Watson
Friday the 13th Part III,1982,Writer,Victor Miller
Friday the 13th Part III,1982,Writer,Ron Kurz
Friday the 13th Part III,1982,Actor,Terry Ballard
Friday the 13th Part III,1982,Actor,Richard Brooker
Friday the 13th Part III,1982,Actor,Gloria Charles
Friday the 13th Part III,1982,Actor,Rachel Howard
Fright Night,2011,Director,Craig Gillespie
Fright Night,2011,Writer,Marti Noxon
Fright Night,2011,Writer,Tom Holland
Fright Night,2011,Writer,Tom Holland
Fright Night,2011,Actor,Anton Yelchin
Fright Night,2011,Actor,Colin Farrell
Fright Night,2011,Actor,Toni Collette
Fright Night,2011,Actor,David Tennant
From Dusk Till Dawn,1996,Director,Robert Rodriguez
From Dusk Till Dawn,1996,Writer,Robert Kurtzman
From Dusk Till Dawn,1996,Writer,Quentin Tarantino
From Dusk Till Dawn,1996,Actor,George Clooney
From Dusk Till Dawn,1996,Actor,Quentin Tarantino
From Dusk Till Dawn,1996,Actor,Harvey Keitel
From Dusk Till Dawn,1996,Actor,Juliette Lewis
Frost/Nixon,2008,Director,Ron Howard
Frost/Nixon,2008,Writer,Peter Morgan
Frost/Nixon,2008,Writer,Peter Morgan
Frost/Nixon,2008,Actor,Frank Langella
Frost/Nixon,2008,Actor,Michael Sheen
Frost/Nixon,2008,Actor,Sam Rockwell
Frost/Nixon,2008,Actor,Kevin Bacon
Frozen,2013,Director,Chris Buck
Frozen,2013,Director,Jennifer Lee
Frozen,2013,Writer,Jennifer Lee
Frozen,2013,Writer,Hans Christian Andersen
Frozen,2013,Actor,Chris Buck
Frozen River,2008,Director,Courtney Hunt
Frozen River,2008,Writer,Courtney Hunt
Frozen River,2008,Actor,Melissa Leo
Frozen River,2008,Actor,Misty Upham
Frozen River,2008,Actor,Charlie McDermott
Frozen River,2008,Actor,Michael O'Keefe
Funny People,2009,Director,Judd Apatow
Funny People,2009,Writer,Judd Apatow
Funny People,2009,Actor,Adam Sandler
Funny People,2009,Actor,Seth Rogen
Funny People,2009,Actor,Leslie Mann
Funny People,2009,Actor,Eric Bana
G.I. Jane,1997,Director,Ridley Scott
G.I. Jane,1997,Writer,Danielle Alexandra
G.I. Jane,1997,Writer,David Twohy
G.I. Jane,1997,Writer,Danielle Alexandra
G.I. Jane,1997,Actor,Demi Moore
G.I. Jane,1997,Actor,Viggo Mortensen
G.I. Jane,1997,Actor,Anne Bancroft
G.I. Jane,1997,Actor,Jason Beghe
Galaxy Quest,1999,Director,Dean Parisot
Galaxy Quest,1999,Writer,David Howard
Galaxy Quest,1999,Writer,David Howard
Galaxy Quest,1999,Writer,Robert Gordon
Galaxy Quest,1999,Actor,Tim Allen
Galaxy Quest,1999,Actor,Sigourney Weaver
Galaxy Quest,1999,Actor,Alan Rickman
Galaxy Quest,1999,Actor,Tony Shalhoub
Gamer,2009,Director,Mark Neveldine
Gamer,2009,Director,Brian Taylor
Gamer,2009,Writer,Mark Neveldine
Gamer,2009,Writer,Brian Taylor
Gamer,2009,Actor,Gerard Butler
Gamer,2009,Actor,Amber Valletta
Gamer,2009,Actor,Michael C. Hall
Gamer,2009,Actor,Kyra Sedgwick
Gangs of New York,2002,Director,Martin Scorsese
Gangs of New York,2002,Writer,Jay Cocks
Gangs of New York,2002,Writer,Jay Cocks
Gangs of New York,2002,Writer,Steven Zaillian
Gangs of New York,2002,Writer,Kenneth Lonergan
Gangs of New York,2002,Actor,Leonardo DiCaprio
Gangs of New York,2002,Actor,Daniel Day-Lewis
Gangs of New York,2002,Actor,Cameron Diaz
Gangs of New York,2002,Actor,Jim Broadbent
Garden State,2004,Director,Zach Braff
Garden State,2004,Writer,Zach Braff
Garden State,2004,Actor,Zach Braff
Garden State,2004,Actor,Kenneth Graymez
Garden State,2004,Actor,George C. Wolfe
Garden State,2004,Actor,Austin Lysy
Gattaca,1997,Director,Andrew Niccol
Gattaca,1997,Writer,Andrew Niccol
Gattaca,1997,Actor,Ethan Hawke
Gattaca,1997,Actor,Uma Thurman
Gattaca,1997,Actor,Gore Vidal
Gattaca,1997,Actor,Xander Berkeley
Get Him to the Greek,2010,Director,Nicholas Stoller
Get Him to the Greek,2010,Writer,Nicholas Stoller
Get Him to the Greek,2010,Writer,Jason Segel
Get Him to the Greek,2010,Actor,Russell Brand
Get Him to the Greek,2010,Actor,Rose Byrne
Get Him to the Greek,2010,Actor,Tyler McKinney
Get Him to the Greek,2010,Actor,Zoe Salmon
Get Low,2009,Director,Aaron Schneider
Get Low,2009,Writer,Chris Provenzano
Get Low,2009,Writer,C. Gaby Mitchell
Get Low,2009,Writer,Chris Provenzano
Get Low,2009,Writer,Scott Seeke
Get Low,2009,Actor,Robert Duvall
Get Low,2009,Actor,Sissy Spacek
Get Low,2009,Actor,Bill Murray
Get Low,2009,Actor,Lucas Black
Ghost,1990,Director,Jerry Zucker
Ghost,1990,Writer,Bruce Joel Rubin
Ghost,1990,Actor,Patrick Swayze
Ghost,1990,Actor,Demi Moore
Ghost,1990,Actor,Whoopi Goldberg
Ghost,1990,Actor,Tony Goldwyn
Ghost Town,2008,Director,David Koepp
Ghost Town,2008,Writer,David Koepp
Ghost Town,2008,Writer,John Kamps
Ghost Town,2008,Actor,Greg Kinnear
Ghost Town,2008,Actor,Jordan Carlos
Ghost Town,2008,Actor,Dequina Moore
Ghost Town,2008,Actor,Joseph Badalucco Jr.
Ghost World,2001,Director,Terry Zwigoff
Ghost World,2001,Writer,Daniel Clowes
Ghost World,2001,Writer,Daniel Clowes
Ghost World,2001,Writer,Terry Zwigoff
Ghost World,2001,Actor,Thora Birch
Ghost World,2001,Actor,Scarlett Johansson
Ghost World,2001,Actor,Steve Buscemi
Ghost World,2001,Actor,Brad Renfro
Ghostbusters,1984,Director,Ivan Reitman
Ghostbusters,1984,Writer,Dan Aykroyd
Ghostbusters,1984,Writer,Harold Ramis
Ghostbusters,1984,Actor,Bill Murray
Ghostbusters,1984,Actor,Dan Aykroyd
Ghostbusters,1984,Actor,Sigourney Weaver
Ghostbusters,1984,Actor,Harold Ramis
Girl with a Pearl Earring,2003,Director,Peter Webber
Girl with a Pearl Earring,2003,Writer,Tracy Chevalier
Girl with a Pearl Earring,2003,Writer,Olivia Hetreed
Girl with a Pearl Earring,2003,Actor,Colin Firth
Girl with a Pearl Earring,2003,Actor,Scarlett Johansson
Girl with a Pearl Earring,2003,Actor,Tom Wilkinson
Girl with a Pearl Earring,2003,Actor,Judy Parfitt
Gladiator,2000,Director,Ridley Scott
Gladiator,2000,Writer,David Franzoni
Gladiator,2000,Writer,David Franzoni
Gladiator,2000,Writer,John Logan
Gladiator,2000,Writer,William Nicholson
Gladiator,2000,Actor,Russell Crowe
Gladiator,2000,Actor,Joaquin Phoenix
Gladiator,2000,Actor,Connie Nielsen
Gladiator,2000,Actor,Oliver Reed
Glengarry Glen Ross,1992,Director,James Foley
Glengarry Glen Ross,1992,Writer,David Mamet
Glengarry Glen Ross,1992,Writer,David Mamet
Glengarry Glen Ross,1992,Actor,Al Pacino
Glengarry Glen Ross,1992,Actor,Jack Lemmon
Glengarry Glen Ross,1992,Actor,Alec Baldwin
Glengarry Glen Ross,1992,Actor,Alan Arkin
Go,1999,Director,Doug Liman
Go,1999,Writer,John August
Go,1999,Actor,Katie Holmes
Go,1999,Actor,Sarah Polley
Go,1999,Actor,Suzanne Krull
Go,1999,Actor,Desmond Askew
Gone in Sixty Seconds,2000,Director,Dominic Sena
Gone in Sixty Seconds,2000,Writer,H.B. Halicki
Gone in Sixty Seconds,2000,Writer,Scott Rosenberg
Gone in Sixty Seconds,2000,Actor,Nicolas Cage
Gone in Sixty Seconds,2000,Actor,Giovanni Ribisi
Gone in Sixty Seconds,2000,Actor,Angelina Jolie
Gone in Sixty Seconds,2000,Actor,T.J. Cross
"Good Night, and Good Luck.",2005,Director,George Clooney
"Good Night, and Good Luck.",2005,Writer,George Clooney
"Good Night, and Good Luck.",2005,Writer,Grant Heslov
"Good Night, and Good Luck.",2005,Actor,Jeff Daniels
"Good Night, and Good Luck.",2005,Actor,David Strathairn
"Good Night, and Good Luck.",2005,Actor,Alex Borstein
"Good Night, and Good Luck.",2005,Actor,Rose Abdoo
Goodfellas,1990,Director,Martin Scorsese
Goodfellas,1990,Writer,Nicholas Pileggi
Goodfellas,1990,Writer,Nicholas Pileggi
Goodfellas,1990,Writer,Martin Scorsese
Goodfellas,1990,Actor,Robert De Niro
Goodfellas,1990,Actor,Ray Liotta
Goodfellas,1990,Actor,Joe Pesci
Goodfellas,1990,Actor,Lorraine Bracco
Gosford Park,2001,Director,Robert Altman
Gosford Park,2001,Writer,Julian Fellowes
Gosford Park,2001,Writer,Robert Altman
Gosford Park,2001,Writer,Bob Balaban
Gosford Park,2001,Actor,Maggie Smith
Gosford Park,2001,Actor,Michael Gambon
Gosford Park,2001,Actor,Kristin Scott Thomas
Gosford Park,2001,Actor,Camilla Rutherford
Gran Torino,2008,Director,Clint Eastwood
Gran Torino,2008,Writer,Nick Schenk
Gran Torino,2008,Writer,Dave Johannson
Gran Torino,2008,Writer,Nick Schenk
Gran Torino,2008,Actor,Clint Eastwood
Gran Torino,2008,Actor,Christopher Carley
Gran Torino,2008,Actor,Bee Vang
Gran Torino,2008,Actor,Ahney Her
Green Lantern,2011,Director,Martin Campbell
Green Lantern,2011,Writer,Greg Berlanti
Green Lantern,2011,Writer,Michael Green
Green Lantern,2011,Writer,Marc Guggenheim
Green Lantern,2011,Writer,Michael Goldenberg
Green Lantern,2011,Writer,Greg Berlanti
Green Lantern,2011,Writer,Michael Green
Green Lantern,2011,Writer,Marc Guggenheim
Green Lantern,2011,Actor,Ryan Reynolds
Green Lantern,2011,Actor,Blake Lively
Green Lantern,2011,Actor,Peter Sarsgaard
Green Lantern,2011,Actor,Mark Strong
Green Zone,2010,Director,Paul Greengrass
Green Zone,2010,Writer,Brian Helgeland
Green Zone,2010,Writer,Rajiv Chandrasekaran
Green Zone,2010,Actor,Igal Naor
Green Zone,2010,Actor,Said Faraj
Green Zone,2010,Actor,Faycal Attougui
Green Zone,2010,Actor,Aymen Hamdouchi
Gremlins,1984,Director,Joe Dante
Gremlins,1984,Writer,Chris Columbus
Gremlins,1984,Actor,Hoyt Axton
Gremlins,1984,Actor,John Louie
Gremlins,1984,Actor,Keye Luke
Gremlins,1984,Actor,Don Steele
Grosse Pointe Blank,1997,Director,George Armitage
Grosse Pointe Blank,1997,Writer,Tom Jankiewicz
Grosse Pointe Blank,1997,Writer,Tom Jankiewicz
Grosse Pointe Blank,1997,Writer,D.V. DeVincentis
Grosse Pointe Blank,1997,Writer,Steve Pink
Grosse Pointe Blank,1997,Writer,John Cusack
Grosse Pointe Blank,1997,Actor,John Cusack
Grosse Pointe Blank,1997,Actor,Minnie Driver
Grosse Pointe Blank,1997,Actor,Alan Arkin
Grosse Pointe Blank,1997,Actor,Dan Aykroyd
Groundhog Day,1993,Director,Harold Ramis
Groundhog Day,1993,Writer,Danny Rubin
Groundhog Day,1993,Writer,Harold Ramis
Groundhog Day,1993,Writer,Danny Rubin
Groundhog Day,1993,Actor,Bill Murray
Groundhog Day,1993,Actor,Andie MacDowell
Groundhog Day,1993,Actor,Chris Elliott
Groundhog Day,1993,Actor,Stephen Tobolowsky
Hall Pass,2011,Director,Bobby Farrelly
Hall Pass,2011,Director,Peter Farrelly
Hall Pass,2011,Writer,Pete Jones
Hall Pass,2011,Writer,Peter Farrelly
Hall Pass,2011,Writer,Kevin Barnett
Hall Pass,2011,Writer,Bobby Farrelly
Hall Pass,2011,Writer,Pete Jones
Hall Pass,2011,Actor,Owen Wilson
Hall Pass,2011,Actor,Jason Sudeikis
Hall Pass,2011,Actor,Jenna Fischer
Hall Pass,2011,Actor,Christina Applegate
Halloween,1978,Director,John Carpenter
Halloween,1978,Writer,John Carpenter
Halloween,1978,Writer,Debra Hill
Halloween,1978,Actor,Donald Pleasence
Halloween,1978,Actor,Jamie Lee Curtis
Halloween,1978,Actor,Nancy Kyes
Halloween,1978,Actor,P.J. Soles
Halloween,2007,Director,Rob Zombie
Halloween,2007,Writer,Rob Zombie
Halloween,2007,Writer,John Carpenter
Halloween,2007,Writer,Debra Hill
Halloween,2007,Actor,Malcolm McDowell
Halloween,2007,Actor,Brad Dourif
Halloween,2007,Actor,Tyler Mane
Halloween,2007,Actor,Daeg Faerch
Halloween H20: 20 Years Later,1998,Director,Steve Miner
Halloween H20: 20 Years Later,1998,Writer,Debra Hill
Halloween H20: 20 Years Later,1998,Writer,John Carpenter
Halloween H20: 20 Years Later,1998,Writer,Robert Zappia
Halloween H20: 20 Years Later,1998,Writer,Robert Zappia
Halloween H20: 20 Years Later,1998,Writer,Matt Greenberg
Halloween H20: 20 Years Later,1998,Actor,Jamie Lee Curtis
Halloween H20: 20 Years Later,1998,Actor,Adam Arkin
Halloween H20: 20 Years Later,1998,Actor,Michelle Williams
Halloween H20: 20 Years Later,1998,Actor,Adam Hann-Byrd
Halloween II,1981,Director,Rick Rosenthal
Halloween II,1981,Writer,John Carpenter
Halloween II,1981,Writer,Debra Hill
Halloween II,1981,Actor,Jamie Lee Curtis
Halloween II,1981,Actor,Donald Pleasence
Halloween II,1981,Actor,Charles Cyphers
Halloween II,1981,Actor,Jeffrey Kramer
Hanna,2011,Director,Joe Wright
Hanna,2011,Writer,Seth Lochhead
Hanna,2011,Writer,David Farr
Hanna,2011,Writer,Seth Lochhead
Hanna,2011,Actor,Saoirse Ronan
Hanna,2011,Actor,Eric Bana
Hanna,2011,Actor,Vicky Krieps
Hanna,2011,Actor,Cate Blanchett
Hannibal,2001,Director,Ridley Scott
Hannibal,2001,Writer,Thomas Harris
Hannibal,2001,Writer,David Mamet
Hannibal,2001,Writer,Steven Zaillian
Hannibal,2001,Actor,Anthony Hopkins
Hannibal,2001,Actor,Julianne Moore
Hannibal,2001,Actor,Gary Oldman
Hannibal,2001,Actor,Ray Liotta
Harold & Kumar Go to White Castle,2004,Director,Danny Leiner
Harold & Kumar Go to White Castle,2004,Writer,Jon Hurwitz
Harold & Kumar Go to White Castle,2004,Writer,Hayden Schlossberg
Harold & Kumar Go to White Castle,2004,Actor,John Cho
Harold & Kumar Go to White Castle,2004,Actor,Ethan Embry
